"ID" "spearman_coeff" "gene1" "gene2" "regulation_0" "Common_SNP_0" "regulation_0.05" "Common_SNP_0.05" "regulation_0.1" "Common_SNP_0.1" "regulation_0.15" "Common_SNP_0.15" "regulation_0.2" "Common_SNP_0.2" "regulation_0.25" "Common_SNP_0.25" "regulation_0.3" "Common_SNP_0.3" "regulation_0.35" "Common_SNP_0.35" "regulation_0.4" "Common_SNP_0.4" "regulation_0.45" "Common_SNP_0.45" "regulation_0.5" "Common_SNP_0.5" "regulation_0.55" "Common_SNP_0.55" "regulation_0.6" "Common_SNP_0.6" "regulation_0.65" "Common_SNP_0.65" "regulation_0.7" "Common_SNP_0.7" "regulation_0.75" "Common_SNP_0.75" "regulation_0.8" "Common_SNP_0.8" "regulation_0.85" "Common_SNP_0.85" "regulation_0.9" "Common_SNP_0.9" "regulation_0.95" "Common_SNP_0.95" "regulation_1" "Common_SNP_1" "indepth_test" "commonsnp"
"ENSSSAG00000000998_Ssal_ENSSSAG00000004786_Ssal" -0.0146495873588908 "ENSSSAG00000004786" "ENSSSAG00000000998" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "distinct" NA
"ENSSSAG00000001226_Ssal_ENSSSAG00000005511_Ssal" -0.256423081051733 "ENSSSAG00000001226" "ENSSSAG00000005511" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "distinct" NA
"ENSSSAG00000002173_Ssal_ENSSSAG00000114008_Ssal" -0.0266635045390905 "ENSSSAG00000002173" "ENSSSAG00000114008" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "shared" "ssa05_68526385"
"ENSSSAG00000002845_Ssal_ENSSSAG00000077757_Ssal" -0.46805641288398 "ENSSSAG00000077757" "ENSSSAG00000002845" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "distinct" NA
"ENSSSAG00000004354_Ssal_ENSSSAG00000092495_Ssal" -0.145166771503916 "ENSSSAG00000092495" "ENSSSAG00000004354" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "distinct" NA
"ENSSSAG00000005260_Ssal_ENSSSAG00000115863_Ssal" -0.0867622966873056 "ENSSSAG00000115863" "ENSSSAG00000005260" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "distinct" NA
"ENSSSAG00000005361_Ssal_ENSSSAG00000080947_Ssal" -0.165251204394685 "ENSSSAG00000080947" "ENSSSAG00000005361" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "distinct" NA
"ENSSSAG00000006910_Ssal_ENSSSAG00000016020_Ssal" -0.183319392460036 "ENSSSAG00000016020" "ENSSSAG00000006910" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "distinct" NA
"ENSSSAG00000007559_Ssal_ENSSSAG00000009244_Ssal" -0.0839329858623611 "ENSSSAG00000007559" "ENSSSAG00000009244" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "distinct" NA
"ENSSSAG00000009565_Ssal_ENSSSAG00000121915_Ssal" -0.400142279604878 "ENSSSAG00000009565" "ENSSSAG00000121915" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "shared" "ssa02_29585503"
