gene	p	CHR	POS
ENSSSAG00000112437	0.00729173	ssa01	681517
ENSSSAG00000000080	0.013632	ssa01	681517
ENSSSAG00000098245	0.00136082	ssa01	682967
ENSSSAG00000121530	5.39E-25	ssa01	986000
ENSSSAG00000105589	6.68E-18	ssa01	986000
ENSSSAG00000107445	1.42E-14	ssa01	986000
ENSSSAG00000000040	0.0105906	ssa01	986000
ENSSSAG00000000049	0.0251575	ssa01	1143215
ENSSSAG00000044034	0.00410777	ssa01	2629827
ENSSSAG00000000048	0.0236257	ssa01	2675189
ENSSSAG00000102505	0.0235356	ssa01	2676660
ENSSSAG00000103107	2.79E-09	ssa01	3495488
ENSSSAG00000088399	5.82E-12	ssa01	4212652
ENSSSAG00000065158	0.000178368	ssa01	4570705
ENSSSAG00000000077	3.89E-27	ssa01	4936459
ENSSSAG00000116341	3.09E-05	ssa01	5957921
ENSSSAG00000000096	0.031787	ssa01	6025305
ENSSSAG00000114975	0.000193223	ssa01	6109433
ENSSSAG00000117299	0.0110289	ssa01	6109433
ENSSSAG00000056816	1.57E-08	ssa01	6117097
ENSSSAG00000096491	2.07E-05	ssa01	6677623
ENSSSAG00000071009	2.11E-10	ssa01	6809432
ENSSSAG00000034886	0.003823	ssa01	6809473
ENSSSAG00000000094	0.0353216	ssa01	7615731
ENSSSAG00000035097	7.87E-28	ssa01	8002235
ENSSSAG00000070825	0.000236675	ssa01	8407978
ENSSSAG00000000657	0.00013096	ssa01	8412486
ENSSSAG00000078627	0.0075242	ssa01	8825041
ENSSSAG00000000083	0.0238774	ssa01	8885455
ENSSSAG00000078331	0.000109021	ssa01	9961899
ENSSSAG00000070943	0.00108177	ssa01	10061338
ENSSSAG00000057551	0.000241682	ssa01	10161166
ENSSSAG00000073913	0.000231786	ssa01	10305514
ENSSSAG00000078632	4.30E-05	ssa01	10318502
ENSSSAG00000078528	0.000922784	ssa01	10473050
ENSSSAG00000089663	2.26E-05	ssa01	10959922
ENSSSAG00000114874	6.36E-21	ssa01	11475386
ENSSSAG00000073686	0.000125482	ssa01	12227376
ENSSSAG00000078367	0.0158772	ssa01	12234466
ENSSSAG00000055885	0.0139198	ssa01	13212077
ENSSSAG00000056052	4.24E-09	ssa01	13254840
ENSSSAG00000084515	0.0257375	ssa01	13367483
ENSSSAG00000090710	0.00024967	ssa01	13968144
ENSSSAG00000048356	1.01E-22	ssa01	14389088
ENSSSAG00000005797	0.00118023	ssa01	14435133
ENSSSAG00000085565	7.24E-16	ssa01	15679185
ENSSSAG00000009411	2.09E-08	ssa01	15679185
ENSSSAG00000071296	0.00777627	ssa01	16041273
ENSSSAG00000108458	0.00165122	ssa01	16398082
ENSSSAG00000034849	0.00130282	ssa01	16505478
ENSSSAG00000103211	3.71E-29	ssa01	16996204
ENSSSAG00000063098	0.00951136	ssa01	17778676
ENSSSAG00000054498	0.0132273	ssa01	17778676
ENSSSAG00000055740	1.69E-41	ssa01	17791316
ENSSSAG00000055120	2.59E-36	ssa01	17791316
ENSSSAG00000122190	4.26E-08	ssa01	19889092
ENSSSAG00000061686	0.0250527	ssa01	20398616
ENSSSAG00000054720	1.17E-05	ssa01	20428303
ENSSSAG00000039783	1.81E-12	ssa01	20436883
