type	clan	gene1	gene2	ID	redip.class
ss4r	OG5v0000002.777	ENSSSAG00000001064	ENSSSAG00000116311	ENSSSAG00000001064_Ssal_ENSSSAG00000116311_Ssal	NA
ss4r	OG5v0000003.824	ENSSSAG00000113997	ENSSSAG00000092513	ENSSSAG00000092513_Ssal_ENSSSAG00000113997_Ssal	AORe
ss4r	OG5v0000009.721	ENSSSAG00000099178	ENSSSAG00000110549	ENSSSAG00000099178_Ssal_ENSSSAG00000110549_Ssal	NA
ss4r	OG5v0000009.845	ENSSSAG00000092221	ENSSSAG00000092457	ENSSSAG00000092221_Ssal_ENSSSAG00000092457_Ssal	LORe
ss4r	OG5v0000015.537	ENSSSAG00000042545	ENSSSAG00000103996	ENSSSAG00000042545_Ssal_ENSSSAG00000103996_Ssal	NA
ss4r	OG5v0000018.406	ENSSSAG00000092379	ENSSSAG00000049938	ENSSSAG00000049938_Ssal_ENSSSAG00000092379_Ssal	AORe
ss4r	OG5v0000018.440	ENSSSAG00000092333	ENSSSAG00000076982	ENSSSAG00000076982_Ssal_ENSSSAG00000092333_Ssal	LORe
ss4r	OG5v0000018.469	ENSSSAG00000008335	ENSSSAG00000009697	ENSSSAG00000008335_Ssal_ENSSSAG00000009697_Ssal	NA
ss4r	OG5v0000018.457	ENSSSAG00000095747	ENSSSAG00000009694	ENSSSAG00000009694_Ssal_ENSSSAG00000095747_Ssal	AORe
ss4r	OG5v0000019.630	ENSSSAG00000102471	ENSSSAG00000115842	ENSSSAG00000102471_Ssal_ENSSSAG00000115842_Ssal	AORe
ss4r	OG5v0000019.391	ENSSSAG00000114641	ENSSSAG00000100184	ENSSSAG00000100184_Ssal_ENSSSAG00000114641_Ssal	NA
ss4r	OG5v0000019.500	ENSSSAG00000097854	ENSSSAG00000094733	ENSSSAG00000094733_Ssal_ENSSSAG00000097854_Ssal	NA
ss4r	OG5v0000021.455	ENSSSAG00000069531	ENSSSAG00000077367	ENSSSAG00000069531_Ssal_ENSSSAG00000077367_Ssal	NA
ss4r	OG5v0000027.315	ENSSSAG00000008334	ENSSSAG00000041816	ENSSSAG00000008334_Ssal_ENSSSAG00000041816_Ssal	AORe
ss4r	OG5v0000027.331	ENSSSAG00000100131	ENSSSAG00000101917	ENSSSAG00000100131_Ssal_ENSSSAG00000101917_Ssal	NA
ss4r	OG5v0000027.536	ENSSSAG00000078182	ENSSSAG00000040149	ENSSSAG00000040149_Ssal_ENSSSAG00000078182_Ssal	AORe
ss4r	OG5v0000027.460	ENSSSAG00000051619	ENSSSAG00000094843	ENSSSAG00000051619_Ssal_ENSSSAG00000094843_Ssal	AORe
ss4r	OG5v0000029.291	ENSSSAG00000119048	ENSSSAG00000040145	ENSSSAG00000040145_Ssal_ENSSSAG00000119048_Ssal	NA
ss4r	OG5v0000029.356	ENSSSAG00000015785	ENSSSAG00000042151	ENSSSAG00000015785_Ssal_ENSSSAG00000042151_Ssal	AORe
ss4r	OG5v0000029.405	ENSSSAG00000104771	ENSSSAG00000120054	ENSSSAG00000104771_Ssal_ENSSSAG00000120054_Ssal	AORe
ss4r	OG5v0000033.519	ENSSSAG00000054478	ENSSSAG00000096579	ENSSSAG00000054478_Ssal_ENSSSAG00000096579_Ssal	NA
ss4r	OG5v0000037.460	ENSSSAG00000121643	ENSSSAG00000003111	ENSSSAG00000003111_Ssal_ENSSSAG00000121643_Ssal	NA
ss4r	OG5v0000040.322	ENSSSAG00000083357	ENSSSAG00000113043	ENSSSAG00000083357_Ssal_ENSSSAG00000113043_Ssal	NA
ss4r	OG5v0000042.251	ENSSSAG00000089469	ENSSSAG00000089521	ENSSSAG00000089469_Ssal_ENSSSAG00000089521_Ssal	NA
ss4r	OG5v0000042.266	ENSSSAG00000112764	ENSSSAG00000084741	ENSSSAG00000084741_Ssal_ENSSSAG00000112764_Ssal	LORe
ss4r	OG5v0000048.289	ENSSSAG00000068379	ENSSSAG00000044179	ENSSSAG00000044179_Ssal_ENSSSAG00000068379_Ssal	AORe
ss4r	OG5v0000048.323	ENSSSAG00000075402	ENSSSAG00000008245	ENSSSAG00000008245_Ssal_ENSSSAG00000075402_Ssal	AORe
ss4r	OG5v0000048.365	ENSSSAG00000007690	ENSSSAG00000062181	ENSSSAG00000007690_Ssal_ENSSSAG00000062181_Ssal	LORe
