"ID" "spearman_coeff" "gene1" "gene2" "Common_SNP_0"
"ENSSSAG00000000210_Ssal_ENSSSAG00000108726_Ssal" 0.746309744273085 "ENSSSAG00000000210" "ENSSSAG00000108726" "ssa14_51370830"
"ENSSSAG00000000305_Ssal_ENSSSAG00000078828_Ssal" 0.613823849297055 "ENSSSAG00000078828" "ENSSSAG00000000305" "ssa12_31475868"
"ENSSSAG00000000352_Ssal_ENSSSAG00000072314_Ssal" 0.837168970835864 "ENSSSAG00000072314" "ENSSSAG00000000352" "ssa14_51354372"
"ENSSSAG00000000667_Ssal_ENSSSAG00000069349_Ssal" 0.574040406358942 "ENSSSAG00000000667" "ENSSSAG00000069349" "ssa03_72897527"
"ENSSSAG00000000837_Ssal_ENSSSAG00000059187_Ssal" 0.707202127441137 "ENSSSAG00000059187" "ENSSSAG00000000837" "ssa14_51354372"
"ENSSSAG00000000909_Ssal_ENSSSAG00000067693_Ssal" 0.683225444353487 "ENSSSAG00000000909" "ENSSSAG00000067693" "ssa14_51354372"
"ENSSSAG00000001077_Ssal_ENSSSAG00000009584_Ssal" 0.929253824068964 "ENSSSAG00000001077" "ENSSSAG00000009584" "ssa14_51354372"
"ENSSSAG00000001412_Ssal_ENSSSAG00000067375_Ssal" 0.799629463083201 "ENSSSAG00000067375" "ENSSSAG00000001412" "ssa14_51354372"
"ENSSSAG00000001707_Ssal_ENSSSAG00000087917_Ssal" 0.792216349552308 "ENSSSAG00000087917" "ENSSSAG00000001707" "ssa14_50819256"
"ENSSSAG00000001739_Ssal_ENSSSAG00000041942_Ssal" -0.134813431178564 "ENSSSAG00000001739" "ENSSSAG00000041942" "ssa06_12930747"
"ENSSSAG00000001776_Ssal_ENSSSAG00000107797_Ssal" 0.834667549200929 "ENSSSAG00000107797" "ENSSSAG00000001776" "ssa14_48007951"
"ENSSSAG00000001778_Ssal_ENSSSAG00000045167_Ssal" -0.300585880952133 "ENSSSAG00000045167" "ENSSSAG00000001778" "ssa14_51370830"
"ENSSSAG00000001815_Ssal_ENSSSAG00000067379_Ssal" 0.696555304671382 "ENSSSAG00000001815" "ENSSSAG00000067379" "ssa14_51354372"
"ENSSSAG00000002044_Ssal_ENSSSAG00000074813_Ssal" 0.866541875848681 "ENSSSAG00000074813" "ENSSSAG00000002044" "ssa14_51370830"
"ENSSSAG00000002061_Ssal_ENSSSAG00000118741_Ssal" 0.741281590297911 "ENSSSAG00000118741" "ENSSSAG00000002061" "ssa14_51370830"
"ENSSSAG00000002337_Ssal_ENSSSAG00000074801_Ssal" 0.816494760604984 "ENSSSAG00000074801" "ENSSSAG00000002337" "ssa14_51354372"
"ENSSSAG00000002526_Ssal_ENSSSAG00000046065_Ssal" 0.535921751784254 "ENSSSAG00000002526" "ENSSSAG00000046065" "ssa03_36627144"
"ENSSSAG00000003047_Ssal_ENSSSAG00000073602_Ssal" 0.477129366369257 "ENSSSAG00000003047" "ENSSSAG00000073602" "ssa14_50816201"
"ENSSSAG00000003293_Ssal_ENSSSAG00000047339_Ssal" 0.79549724382178 "ENSSSAG00000003293" "ENSSSAG00000047339" "ssa14_51354372"
"ENSSSAG00000003315_Ssal_ENSSSAG00000007139_Ssal" 0.785343474140389 "ENSSSAG00000007139" "ENSSSAG00000003315" "ssa14_51354372"
"ENSSSAG00000003382_Ssal_ENSSSAG00000088386_Ssal" 0.650508009188027 "ENSSSAG00000003382" "ENSSSAG00000088386" "ssa14_32499888"
"ENSSSAG00000003657_Ssal_ENSSSAG00000010060_Ssal" 0.786579627692878 "ENSSSAG00000010060" "ENSSSAG00000003657" "ssa22_34442885"
"ENSSSAG00000003722_Ssal_ENSSSAG00000015608_Ssal" 0.858763961766118 "ENSSSAG00000003722" "ENSSSAG00000015608" "ssa14_51354372"
"ENSSSAG00000003726_Ssal_ENSSSAG00000059621_Ssal" 0.699771057714328 "ENSSSAG00000003726" "ENSSSAG00000059621" "ssa14_51354372"
"ENSSSAG00000003778_Ssal_ENSSSAG00000042939_Ssal" 0.861785081795847 "ENSSSAG00000003778" "ENSSSAG00000042939" "ssa14_51370830"
"ENSSSAG00000003988_Ssal_ENSSSAG00000114881_Ssal" 0.768671483250157 "ENSSSAG00000003988" "ENSSSAG00000114881" "ssa14_51370830"
"ENSSSAG00000004066_Ssal_ENSSSAG00000049682_Ssal" 0.62904854961736 "ENSSSAG00000004066" "ENSSSAG00000049682" "ssa14_51354372"
"ENSSSAG00000004592_Ssal_ENSSSAG00000008139_Ssal" 0.769414241684197 "ENSSSAG00000008139" "ENSSSAG00000004592" "ssa14_51370830"
"ENSSSAG00000005209_Ssal_ENSSSAG00000093490_Ssal" 0.68229970313302 "ENSSSAG00000005209" "ENSSSAG00000093490" "ssa14_50870510"
"ENSSSAG00000005515_Ssal_ENSSSAG00000076919_Ssal" 0.901014283750875 "ENSSSAG00000076919" "ENSSSAG00000005515" "ssa14_51354372"
"ENSSSAG00000005989_Ssal_ENSSSAG00000006130_Ssal" 0.908033274742132 "ENSSSAG00000005989" "ENSSSAG00000006130" "ssa14_51370830"
