"ID" "spearman_coeff" "gene1" "gene2"
"ENSSSAG00000000040_Ssal_ENSSSAG00000004746_Ssal" 0.262034256449382 "ENSSSAG00000004746" "ENSSSAG00000000040"
"ENSSSAG00000000048_Ssal_ENSSSAG00000112154_Ssal" 0.179621574155472 "ENSSSAG00000112154" "ENSSSAG00000000048"
"ENSSSAG00000000067_Ssal_ENSSSAG00000094436_Ssal" 0.154291181237501 "ENSSSAG00000000067" "ENSSSAG00000094436"
"ENSSSAG00000000078_Ssal_ENSSSAG00000063363_Ssal" 0.611050653371596 "ENSSSAG00000063363" "ENSSSAG00000000078"
"ENSSSAG00000000080_Ssal_ENSSSAG00000063374_Ssal" 0.582676984109664 "ENSSSAG00000000080" "ENSSSAG00000063374"
"ENSSSAG00000000091_Ssal_ENSSSAG00000065077_Ssal" 0.182938936715912 "ENSSSAG00000000091" "ENSSSAG00000065077"
"ENSSSAG00000000122_Ssal_ENSSSAG00000048544_Ssal" 0.251468234679119 "ENSSSAG00000000122" "ENSSSAG00000048544"
"ENSSSAG00000000140_Ssal_ENSSSAG00000081373_Ssal" 0.779564036085238 "ENSSSAG00000081373" "ENSSSAG00000000140"
"ENSSSAG00000000161_Ssal_ENSSSAG00000048605_Ssal" 0.239723174798139 "ENSSSAG00000000161" "ENSSSAG00000048605"
"ENSSSAG00000000172_Ssal_ENSSSAG00000048636_Ssal" 0.519602563879879 "ENSSSAG00000000172" "ENSSSAG00000048636"
"ENSSSAG00000000215_Ssal_ENSSSAG00000007557_Ssal" 0.824589828714638 "ENSSSAG00000007557" "ENSSSAG00000000215"
"ENSSSAG00000000240_Ssal_ENSSSAG00000072464_Ssal" 0.560084338283053 "ENSSSAG00000072464" "ENSSSAG00000000240"
"ENSSSAG00000000256_Ssal_ENSSSAG00000072712_Ssal" 0.458100157820697 "ENSSSAG00000000256" "ENSSSAG00000072712"
"ENSSSAG00000000262_Ssal_ENSSSAG00000048002_Ssal" 0.299348576840279 "ENSSSAG00000048002" "ENSSSAG00000000262"
"ENSSSAG00000000269_Ssal_ENSSSAG00000060463_Ssal" 0.348798116535912 "ENSSSAG00000000269" "ENSSSAG00000060463"
"ENSSSAG00000000270_Ssal_ENSSSAG00000118877_Ssal" 0.500772678701389 "ENSSSAG00000118877" "ENSSSAG00000000270"
"ENSSSAG00000000307_Ssal_ENSSSAG00000067091_Ssal" -0.0585070758790001 "ENSSSAG00000067091" "ENSSSAG00000000307"
"ENSSSAG00000000346_Ssal_ENSSSAG00000043074_Ssal" 0.531255658458272 "ENSSSAG00000000346" "ENSSSAG00000043074"
"ENSSSAG00000000364_Ssal_ENSSSAG00000079572_Ssal" 0.292115126257012 "ENSSSAG00000000364" "ENSSSAG00000079572"
"ENSSSAG00000000382_Ssal_ENSSSAG00000080841_Ssal" 0.718996322713621 "ENSSSAG00000080841" "ENSSSAG00000000382"
"ENSSSAG00000000389_Ssal_ENSSSAG00000097766_Ssal" 0.309041816566039 "ENSSSAG00000097766" "ENSSSAG00000000389"
"ENSSSAG00000000399_Ssal_ENSSSAG00000079600_Ssal" 0.74974682571977 "ENSSSAG00000000399" "ENSSSAG00000079600"
"ENSSSAG00000000403_Ssal_ENSSSAG00000006476_Ssal" 0.300487914185915 "ENSSSAG00000000403" "ENSSSAG00000006476"
"ENSSSAG00000000423_Ssal_ENSSSAG00000068186_Ssal" 0.793495260459417 "ENSSSAG00000068186" "ENSSSAG00000000423"
"ENSSSAG00000000511_Ssal_ENSSSAG00000004344_Ssal" -0.402619169498079 "ENSSSAG00000000511" "ENSSSAG00000004344"
"ENSSSAG00000000514_Ssal_ENSSSAG00000047226_Ssal" 0.316693883473609 "ENSSSAG00000000514" "ENSSSAG00000047226"
"ENSSSAG00000000534_Ssal_ENSSSAG00000095953_Ssal" 0.626109755705475 "ENSSSAG00000095953" "ENSSSAG00000000534"
"ENSSSAG00000000553_Ssal_ENSSSAG00000069365_Ssal" 0.30682009036429 "ENSSSAG00000069365" "ENSSSAG00000000553"
"ENSSSAG00000000556_Ssal_ENSSSAG00000080819_Ssal" 0.898600718207437 "ENSSSAG00000080819" "ENSSSAG00000000556"
"ENSSSAG00000000569_Ssal_ENSSSAG00000070438_Ssal" 0.405281241992245 "ENSSSAG00000000569" "ENSSSAG00000070438"
"ENSSSAG00000000582_Ssal_ENSSSAG00000051686_Ssal" 0.53866126767401 "ENSSSAG00000000582" "ENSSSAG00000051686"
"ENSSSAG00000000606_Ssal_ENSSSAG00000056141_Ssal" 0.0678609304200834 "ENSSSAG00000000606" "ENSSSAG00000056141"
"ENSSSAG00000000631_Ssal_ENSSSAG00000088737_Ssal" 0.309401309448378 "ENSSSAG00000000631" "ENSSSAG00000088737"
"ENSSSAG00000000659_Ssal_ENSSSAG00000056221_Ssal" 0.507945309684386 "ENSSSAG00000000659" "ENSSSAG00000056221"
"ENSSSAG00000000673_Ssal_ENSSSAG00000111902_Ssal" 0.54767705652018 "ENSSSAG00000111902" "ENSSSAG00000000673"
"ENSSSAG00000000687_Ssal_ENSSSAG00000078886_Ssal" 0.915321049282076 "ENSSSAG00000000687" "ENSSSAG00000078886"
"ENSSSAG00000000689_Ssal_ENSSSAG00000069505_Ssal" 0.797098375475111 "ENSSSAG00000000689" "ENSSSAG00000069505"
"ENSSSAG00000000708_Ssal_ENSSSAG00000106619_Ssal" 0.914935640506533 "ENSSSAG00000000708" "ENSSSAG00000106619"
