"ID" "spearman_coeff" "gene1" "gene2"
"ENSSSAG00000000114_Ssal_ENSSSAG00000043378_Ssal" 0.787132045304747 "ENSSSAG00000043378" "ENSSSAG00000000114"
"ENSSSAG00000000177_Ssal_ENSSSAG00000066315_Ssal" 0.610224542388733 "ENSSSAG00000066315" "ENSSSAG00000000177"
"ENSSSAG00000000202_Ssal_ENSSSAG00000091427_Ssal" 0.421496887134434 "ENSSSAG00000091427" "ENSSSAG00000000202"
"ENSSSAG00000000360_Ssal_ENSSSAG00000107900_Ssal" 0.928038501458767 "ENSSSAG00000000360" "ENSSSAG00000107900"
"ENSSSAG00000000376_Ssal_ENSSSAG00000060983_Ssal" 0.29641443697072 "ENSSSAG00000000376" "ENSSSAG00000060983"
"ENSSSAG00000000387_Ssal_ENSSSAG00000042663_Ssal" 0.491158403636381 "ENSSSAG00000042663" "ENSSSAG00000000387"
"ENSSSAG00000000430_Ssal_ENSSSAG00000068076_Ssal" 0.860851028788815 "ENSSSAG00000068076" "ENSSSAG00000000430"
"ENSSSAG00000000459_Ssal_ENSSSAG00000046225_Ssal" 0.326275517294475 "ENSSSAG00000000459" "ENSSSAG00000046225"
"ENSSSAG00000000474_Ssal_ENSSSAG00000046136_Ssal" 0.301893528948494 "ENSSSAG00000000474" "ENSSSAG00000046136"
"ENSSSAG00000000487_Ssal_ENSSSAG00000083741_Ssal" 0.534535826605576 "ENSSSAG00000083741" "ENSSSAG00000000487"
"ENSSSAG00000000491_Ssal_ENSSSAG00000072263_Ssal" 0.327969036355239 "ENSSSAG00000072263" "ENSSSAG00000000491"
"ENSSSAG00000000518_Ssal_ENSSSAG00000063083_Ssal" 0.45838771753057 "ENSSSAG00000063083" "ENSSSAG00000000518"
"ENSSSAG00000000522_Ssal_ENSSSAG00000072269_Ssal" 0.55295251239992 "ENSSSAG00000072269" "ENSSSAG00000000522"
"ENSSSAG00000000602_Ssal_ENSSSAG00000042833_Ssal" 0.644111779101824 "ENSSSAG00000042833" "ENSSSAG00000000602"
"ENSSSAG00000000682_Ssal_ENSSSAG00000045926_Ssal" 0.436259783583563 "ENSSSAG00000045926" "ENSSSAG00000000682"
"ENSSSAG00000000695_Ssal_ENSSSAG00000003483_Ssal" 0.753058727107032 "ENSSSAG00000000695" "ENSSSAG00000003483"
"ENSSSAG00000000710_Ssal_ENSSSAG00000045426_Ssal" 0.683092639960861 "ENSSSAG00000045426" "ENSSSAG00000000710"
"ENSSSAG00000000734_Ssal_ENSSSAG00000039368_Ssal" 0.662786025068884 "ENSSSAG00000000734" "ENSSSAG00000039368"
"ENSSSAG00000000822_Ssal_ENSSSAG00000002644_Ssal" 0.306033651647811 "ENSSSAG00000002644" "ENSSSAG00000000822"
"ENSSSAG00000000849_Ssal_ENSSSAG00000085568_Ssal" 0.513485022594643 "ENSSSAG00000000849" "ENSSSAG00000085568"
"ENSSSAG00000000880_Ssal_ENSSSAG00000048494_Ssal" 0.584049288817616 "ENSSSAG00000048494" "ENSSSAG00000000880"
"ENSSSAG00000000903_Ssal_ENSSSAG00000059059_Ssal" -0.17037640265272 "ENSSSAG00000059059" "ENSSSAG00000000903"
"ENSSSAG00000000916_Ssal_ENSSSAG00000117818_Ssal" 0.0504217634366401 "ENSSSAG00000117818" "ENSSSAG00000000916"
"ENSSSAG00000000924_Ssal_ENSSSAG00000039549_Ssal" 0.907100365453254 "ENSSSAG00000039549" "ENSSSAG00000000924"
"ENSSSAG00000000928_Ssal_ENSSSAG00000064198_Ssal" 0.80304810757032 "ENSSSAG00000064198" "ENSSSAG00000000928"
"ENSSSAG00000000940_Ssal_ENSSSAG00000000960_Ssal" 0.422375866087259 "ENSSSAG00000000940" "ENSSSAG00000000960"
"ENSSSAG00000001037_Ssal_ENSSSAG00000045893_Ssal" 0.494041203479723 "ENSSSAG00000045893" "ENSSSAG00000001037"
"ENSSSAG00000001063_Ssal_ENSSSAG00000079718_Ssal" 0.535531761795993 "ENSSSAG00000001063" "ENSSSAG00000079718"
"ENSSSAG00000001088_Ssal_ENSSSAG00000043651_Ssal" 0.459003436857243 "ENSSSAG00000001088" "ENSSSAG00000043651"
"ENSSSAG00000001101_Ssal_ENSSSAG00000120819_Ssal" 0.807326753432054 "ENSSSAG00000001101" "ENSSSAG00000120819"
"ENSSSAG00000001131_Ssal_ENSSSAG00000046759_Ssal" -0.0788521550509463 "ENSSSAG00000001131" "ENSSSAG00000046759"
"ENSSSAG00000001147_Ssal_ENSSSAG00000111558_Ssal" 0.856297009987841 "ENSSSAG00000001147" "ENSSSAG00000111558"
"ENSSSAG00000001230_Ssal_ENSSSAG00000063186_Ssal" 0.640397435707631 "ENSSSAG00000001230" "ENSSSAG00000063186"
"ENSSSAG00000001251_Ssal_ENSSSAG00000088873_Ssal" 0.81713308035485 "ENSSSAG00000088873" "ENSSSAG00000001251"
"ENSSSAG00000001260_Ssal_ENSSSAG00000078711_Ssal" -0.0776914656078084 "ENSSSAG00000078711" "ENSSSAG00000001260"
"ENSSSAG00000001278_Ssal_ENSSSAG00000067396_Ssal" 0.666879256412173 "ENSSSAG00000067396" "ENSSSAG00000001278"
"ENSSSAG00000001365_Ssal_ENSSSAG00000067334_Ssal" 0.519359873286841 "ENSSSAG00000067334" "ENSSSAG00000001365"
"ENSSSAG00000001415_Ssal_ENSSSAG00000097902_Ssal" 0.327067248634759 "ENSSSAG00000097902" "ENSSSAG00000001415"
"ENSSSAG00000001442_Ssal_ENSSSAG00000067264_Ssal" 0.418695444953729 "ENSSSAG00000067264" "ENSSSAG00000001442"
"ENSSSAG00000001512_Ssal_ENSSSAG00000049859_Ssal" 0.695282493190487 "ENSSSAG00000049859" "ENSSSAG00000001512"
